HiggsM,Frequency
118107.7694235589,15505.54167687893
118157.8947368421,16314.525654315948
118208.02005012531,16298.563001811504
118258.14536340852,15653.072078168392
118308.27067669173,15892.922219216824
118358.39598997493,15850.496174275875
118408.52130325815,15882.940542161465
118458.64661654136,16238.802215516567
118508.77192982456,15327.821403443813
118558.89724310777,15271.181849956512
118609.02255639098,15377.747417271137
118659.14786967418,15827.563388764858
118709.27318295739,15842.478121876717
118759.3984962406,15440.766547322273
118809.52380952382,16683.086739599705
118859.64912280702,16357.051594376564
118909.77443609023,16368.457266569138
118959.89974937344,15227.684380888939
119010.02506265664,16184.127266049385
119060.15037593985,15861.91849565506
119110.27568922305,15415.581224799156
119160.40100250626,15321.291984200478
119210.52631578948,15337.990139007568
119260.65162907269,15278.534914255142
119310.7769423559,14877.34827876091
119360.9022556391,15088.543210923672
119411.0275689223,15280.450550079346
119461.15288220551,15390.167710483074
119511.27819548872,15206.407699763775
119561.40350877192,14971.15175485611
119611.52882205514,15203.311930418015
119661.65413533835,15326.412098765373
119711.77944862156,15437.600263774395
119761.90476190476,15282.962618529797
119812.03007518797,15700.027681231499
119862.15538847118,15148.136525988579
119912.28070175438,15454.618670582771
119962.40601503759,15251.112724542618
120012.53132832081,14938.994340598583
120062.65664160402,14958.127194106579
120112.78195488722,14706.171135663986
120162.90726817043,15854.649656653404
120213.03258145363,14785.472190856934
120263.15789473684,14064.073707997799
120313.28320802005,15323.064632892609
120363.40852130325,15344.886819720268
120413.53383458647,15252.726716279984
120463.65914786968,15161.90638267994
120513.78446115289,14897.763119637966
120563.90977443609,15157.59130525589
120614.0350877193,14484.07980054617
120664.1604010025,15014.265313267708
120714.28571428571,14725.22368133068
120764.41102756892,14967.569241642952
120814.53634085214,15450.28204715252
120864.66165413534,14945.26912522316
120914.78696741855,14608.53051173687
120964.91228070176,14506.16151881218
121015.03759398496,14990.194506883621
121065.16290726817,14648.335778832436
121115.28822055137,14842.844308555126
121165.41353383458,14638.910380482674
121215.5388471178,14085.885611504316
121265.66416040101,14760.269239783287
121315.78947368421,13994.820436924696
121365.91478696742,14472.861186861992
121416.04010025063,15162.964095711708
121466.16541353383,14194.139112532139
121516.29072681704,14895.159970343113
121566.41604010024,14833.02814400196
121616.54135338347,14711.549802303314
121666.66666666667,13489.108738839626
121716.79197994988,14038.171980768442
121766.91729323308,14205.036005169153
121817.04260651629,14608.30525803566
121867.1679197995,14454.162191569805
121917.2932330827,14922.836794674397
121967.41854636591,14332.904206752777
122017.54385964913,14807.182730197906
122067.66917293234,14639.27078640461
122117.79448621554,14859.63354420662
122167.91979949875,14196.531698584557
122218.04511278195,13743.00540688634
122268.17042606516,14328.617530882359
122318.29573934837,13858.05863159895
122368.42105263157,14725.108116388321
122418.5463659148,14102.261065900326
122468.671679198,14022.57169291377
122518.7969924812,14226.325418025255
122568.92230576441,14861.893916130066
122619.04761904762,14969.1822540164
122669.17293233082,13777.860968738794
122719.29824561403,14604.423059463501
122769.42355889724,14836.810447454453
122819.54887218046,13383.008369386196
122869.67418546366,14021.096281170845
122919.79949874687,13794.597318738699
122969.92481203008,14112.095838367939
123020.05012531328,14779.044625461102
123070.17543859649,15038.112824678421
123120.3007518797,14182.489578723907
123170.4260651629,14168.830879837275
123220.55137844612,14096.380475252867
123270.67669172933,13943.303446412086
123320.80200501253,14093.584880948067
123370.92731829574,13835.626790732145
123421.05263157895,14115.767473697662
123471.17794486215,14162.41604617238
123521.30325814536,14347.068747103214
123571.42857142858,13921.781924307346
123621.55388471179,14068.98325932026
123671.67919799499,13677.711214452982
123721.8045112782,13810.233843058348
123771.9298245614,14045.961351692677
123822.05513784461,13552.633220672607
123872.18045112782,13416.932556152344
123922.30576441102,13856.941667050123
123972.43107769423,13510.574437201023
124022.55639097745,13100.358066380024
124072.68170426066,13664.466786503792
124122.80701754386,13586.688152521849
124172.93233082707,14502.633849978447
124223.05764411027,13539.275676190853
124273.18295739348,13220.895729035139
124323.30827067669,13908.139384925365
124373.43358395991,13658.530861794949
124423.55889724311,13531.817330271006
124473.68421052632,13534.562977015972
124523.80952380953,13170.317948520184
124573.93483709273,13248.347789347172
124624.06015037594,13584.27304109931
124674.18546365915,13574.908363312483
124724.31077694235,13779.984719395638
124774.43609022556,13465.79449108243
124824.56140350878,13184.512849152088
124874.68671679198,13577.646175146103
124924.81203007519,13735.828138411045
124974.9373433584,13059.942165881395
125025.0626566416,13593.109352052212
125075.18796992481,12995.370744019747
125125.31328320802,13441.532708734274
125175.43859649124,13524.070561677217
125225.56390977444,13578.3870639503
125275.68922305765,13403.169555008411
125325.81453634085,13979.963975965977
125375.93984962406,13526.492038965225
125426.06516290727,12616.791745215654
125476.19047619047,14134.981124728918
125526.31578947368,12957.493354797363
125576.44110275689,13476.748186826706
125626.5664160401,13103.233478844166
125676.69172932331,12340.31731107831
125726.81704260652,13676.230905890465
125776.94235588973,13263.11806628108
125827.06766917293,12890.657643556595
125877.19298245614,13761.924269378185
125927.31829573934,13728.861922860146
125977.44360902256,13110.96506729722
126027.56892230577,13251.734429776669
126077.69423558898,13214.179740965366
126127.81954887218,13338.8650098145
126177.94486215539,13488.069633722305
126228.0701754386,12925.716423422098
126278.1954887218,13205.277812629938
126328.32080200501,12790.910897523165
126378.44611528821,12873.081978678703
126428.57142857143,13036.52312618494
126478.69674185464,13000.423772156239
126528.82205513785,13143.816850572824
126578.94736842105,12759.807278841734
126629.07268170426,12558.72721722722
126679.19799498747,12796.26214197278
126729.32330827067,13171.29584339261
126779.4486215539,13425.744383007288
126829.5739348371,12885.353408575058
126879.6992481203,13374.991296350956
126929.82456140351,12909.997142851353
126979.94987468672,12986.519252926111
127030.07518796992,12367.573988288641
127080.20050125313,12785.458288908005
127130.32581453634,13466.317471414804
127180.45112781954,12867.052524715662
127230.57644110276,12787.882704287767
127280.70175438597,12481.91766384244
127330.82706766918,12311.18857973814
127380.95238095238,12960.133719921112
127431.07769423559,12832.750303477049
127481.2030075188,12749.067574113607
127531.328320802,12190.652875810862
127581.45363408522,13288.112902522087
127631.57894736843,12609.439660280943
127681.70426065163,12569.193189740181
127731.82957393484,12309.287144690752
127781.95488721805,12378.03457430005
127832.08020050125,12443.002638548613
127882.20551378446,12330.746966868639
127932.33082706766,12472.315490305424
127982.45614035087,11744.738200485706
128032.58145363409,12538.071452826262
128082.7067669173,12873.93892210722
128132.8320802005,12447.92541128397
128182.95739348371,12377.421982169151
128233.08270676692,12134.201360195875
128283.20802005012,12411.560649633408
128333.33333333333,12083.05701765418
128383.45864661655,12407.514897286892
128433.58395989976,12231.881648361683
128483.70927318296,12656.387918114662
128533.83458646617,12382.671372771263
128583.95989974937,11779.24853655696
128634.08521303258,13094.902519673109
128684.21052631579,11806.616371572018
128734.33583959899,12347.867227524519
128784.4611528822,11898.244680404663
128834.58646616542,12112.713626146317
128884.71177944863,12586.968644857407
128934.83709273183,12331.177397310734
128984.96240601504,12055.34395685792
129035.08771929824,11153.107885211706
129085.21303258145,11977.907120883465
129135.33834586466,12356.46114590764
129185.46365914788,11598.593599140644
129235.58897243108,12437.55688548088
129285.71428571429,12067.867083281279
129335.8395989975,12170.149402499199
129385.9649122807,12408.404159724712
129436.09022556391,12149.754148900509
129486.21553884711,12329.68925383687
129536.34085213032,12156.920644372702
129586.46616541353,13079.435425311327
129636.59147869675,12181.855249732733
129686.71679197995,11942.640715867281
129736.84210526316,11992.531962275505
129786.96741854637,12538.625772804022
129837.09273182957,11960.670805603266
129887.21804511278,11852.827168375254
129937.34335839598,12458.790964275599
129987.4686716792,11727.911259323359
130037.59398496241,11528.007903456688
130087.71929824562,13091.460055500269
130137.84461152882,12368.63757750392
130187.96992481203,12172.529256820679
130238.09523809524,11975.181061416864
130288.22055137844,12003.245713859797
130338.34586466165,12372.560909360647
130388.47117794486,12273.44193559885
130438.59649122808,11790.80013397336
130488.72180451128,12276.629275470972
130538.84711779449,11652.869457811117
130588.9724310777,11466.267822682858
130639.0977443609,11329.380169093609
130689.2230576441,11757.359752982855
130739.34837092731,11621.646356731653
130789.47368421053,11507.203275740147
130839.59899749374,11611.236207962036
130889.72431077695,11813.96258032322
130939.84962406015,12016.306021392345
130989.97493734336,12101.281511127949
131040.10025062656,11973.909357368946
131090.22556390977,11674.472756803036
131140.35087719298,11897.822574555874
131190.47619047618,12338.7062574327
131240.6015037594,11858.058440744877
131290.7268170426,11671.428404062986
131340.8521303258,11629.379903912544
131390.97744360904,11668.825254768133
131441.10275689224,11575.240666508675
131491.22807017545,12121.513210952282
131541.35338345866,11123.394473612309
131591.47869674186,11626.013830125332
131641.60401002507,11597.09370329976
131691.72932330827,11022.217366576195
131741.85463659148,10997.93746599555
131791.9799498747,11391.367049574852
131842.1052631579,11505.438461959362
131892.2305764411,11406.506546705961
131942.3558897243,11736.417524635792
131992.4812030075,11824.036317586899
132042.60651629072,11471.775275677443
132092.73182957392,11653.66519099474
132142.85714285716,11114.538085699081
132192.98245614034,10902.85200253129
132243.10776942357,11474.60123026371
132293.23308270678,11484.142193555832
132343.35839598998,10886.081864476204
132393.4837092732,11948.911093354225
132443.6090225564,11865.976598024368
132493.7343358396,10965.692398667336
132543.8596491228,10873.569021373987
132593.98496240602,10491.587222635746
132644.11027568922,11228.508133918047
132694.23558897243,10958.44118821621
132744.36090225563,10689.235103398561
132794.48621553884,11278.910608291626
132844.61152882205,11560.797986805439
132894.73684210525,11259.077509582043
132944.86215538846,11039.231855928898
132994.9874686717,12198.945639789104
133045.1127819549,11384.85330015421
133095.2380952381,11362.572281330824
133145.3634085213,11717.782187998295
133195.48872180452,11266.848762273788
133245.61403508772,11091.738983362913
133295.73934837093,10570.888277828693
133345.86466165414,10924.095385283232
133395.98997493734,11209.044255405664
133446.11528822055,11121.942076921463
133496.24060150376,9870.578193381429
133546.36591478696,10554.407541811466
133596.49122807017,10550.320166498423
133646.61654135337,10793.341977596283
133696.74185463658,10882.369095861912
133746.86716791982,10732.749711334705
133796.992481203,10821.463433146477
133847.11779448623,11075.789552271366
133897.24310776943,10662.71196976304
133947.36842105264,10759.000581800938
133997.49373433585,11062.676359087229
134047.61904761905,10786.836552768946
134097.74436090226,11092.992569178343
134147.86967418547,10617.516773343086
134197.99498746867,10547.764516353607
134248.12030075188,10820.769064128399
134298.24561403508,10825.981728583574
134348.3709273183,11020.978960901499
134398.4962406015,11203.809065580368
134448.6215538847,10800.757721185684
134498.7468671679,9976.565201461315
134548.87218045112,10864.493745625019
134598.99749373435,11336.110357940197
134649.12280701756,10504.158337891102
134699.24812030076,10715.484504818916
134749.37343358397,10245.996539980173
134799.49874686718,10780.098039329052
134849.62406015038,10893.388408988714
134899.7493734336,11096.73129093647
134949.8746867168,10849.598110109568
135000.0,10590.001544058323
135000.0,10916.717836886644
